COMUNA;TELEFONO;VIVIENDA;PARED;PISO;ENERGIA;ALCANTA;GAS;BASURA;ACUEDUC;ESTRATO;ELIMBASURA;THOGAR;TENEVIV;USOSANI;USANITAR;DUCHA;AGUA;LLEGA;SUMINIS;PREPARAN;COCINA;COCINAN;ALUMBRA;USOTELE;NEVERA;LAVADORA;TVCOLOR;TVCABLE;CALENTA;HORNO;AIRE;COMPUTADOR;MOTO;AUTO1;SEXO;FECHANTO;PARENTES;ESTCIVIL;CONYUVIVE;DISCAPA;CARNET;EMBARAZA;ASISTE;TIPOESTA;GRADO;NIVEL;INGRESOS;PERCIBE;PUNTAJE
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;1;30/10/1992;3;5;0;0;4;2;1;4;5;2;0;2;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;1;16/02/1996;3;5;0;0;4;2;1;4;2;2;0;2;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;2;23/04/1981;13;2;6;0;4;1;2;0;6;2;0;2;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;1;7/01/1974;15;2;5;0;4;2;2;0;6;2;497000;1;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;2;2;24/11/2009;15;5;0;0;0;2;2;0;0;0;0;2;49.45
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;2;2;2;2;2;2;31/12/1927;1;3;0;0;4;2;2;0;1;1;0;2;36.77
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;2;2;2;2;2;2;3/11/1965;3;1;5;0;0;1;2;0;5;1;0;2;36.77
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;2;2;2;2;2;2;26/10/1999;4;5;0;0;4;2;1;4;3;1;0;2;36.77
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;2;2;2;2;2;2;16/09/1958;3;5;0;0;4;1;2;0;3;1;0;2;36.77
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;2;2;2;2;2;1;11/06/1960;7;1;2;0;4;2;2;0;1;1;497000;1;36.77
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;23/06/1982;1;1;2;0;3;2;2;0;6;2;496500;1;28.95
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;11/01/1991;2;1;1;0;3;1;2;0;5;2;0;2;28.95
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;27/05/2009;3;5;0;0;3;2;2;0;0;0;0;2;28.95
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;3/09/1960;1;2;2;0;4;2;2;0;5;1;0;2;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;6/11/1963;2;2;1;0;4;1;2;0;5;1;0;2;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;15/12/1986;3;1;5;0;4;2;2;0;6;2;150000;1;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;12/11/1992;3;5;0;0;4;2;1;4;5;2;0;2;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;15/03/1985;7;1;3;0;4;1;2;0;6;2;0;2;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;16/10/2005;4;5;0;0;4;2;2;0;0;0;0;2;55.63
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;18/11/1979;1;5;0;0;0;2;1;4;6;2;0;2;47.06
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;27/11/1997;15;5;0;0;1;2;1;4;5;1;0;2;47.06
1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;2/02/1999;15;5;0;0;1;2;1;4;4;1;0;2;47.06
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;5/08/1966;1;1;2;0;4;2;2;0;5;1;450000;1;46.04
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;1/03/1969;2;1;1;0;4;1;2;0;2;2;0;2;46.04
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;25/07/1995;3;5;0;0;4;2;1;4;5;1;0;2;46.04
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;24/04/1958;1;5;0;0;4;1;2;0;2;1;200000;1;59.71
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;21/12/1971;6;3;0;0;4;1;2;0;6;2;200000;1;59.71
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;6/12/1992;11;5;0;0;4;2;1;4;1;4;0;2;59.71
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;10/10/1973;3;4;0;0;4;2;2;0;6;2;250000;1;59.71
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;10/10/1953;1;3;0;0;4;1;2;0;0;0;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;1/01/1970;3;5;0;0;4;1;2;0;4;1;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;1;30/06/1967;3;5;0;0;4;2;2;0;0;0;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;1/07/1991;4;5;0;0;4;2;1;4;3;2;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;18/12/1996;4;5;0;0;4;2;1;4;3;1;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;1;11/10/1999;4;5;0;0;4;2;1;4;1;1;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;26/07/2004;4;5;0;4;4;2;2;0;0;0;100000;1;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;8/03/1995;3;5;0;0;4;2;1;4;5;1;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;28/10/2011;14;5;0;0;0;2;2;0;0;0;0;2;20.38
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;1;22/08/2013;4;5;0;0;0;2;2;0;0;0;0;2;20.38
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;13/10/1964;1;5;0;0;4;1;2;0;5;1;200000;1;47.02
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;9/08/1989;3;5;0;0;3;2;2;0;6;2;0;1;47.02
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;7/03/1992;3;5;0;0;3;2;1;2;0;0;0;2;47.02
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;9/10/1994;3;5;0;0;3;2;1;4;2;2;0;2;47.02
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;1;8/03/1948;1;1;2;0;4;2;2;0;0;0;496500;1;54.01
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;22/08/1953;2;1;1;0;4;1;2;0;5;1;120000;1;54.01
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;20/03/1988;3;5;0;0;3;2;2;0;1;3;496500;1;54.01
1;1;1;1;2;1;1;2;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;7/04/1934;1;4;0;6;4;1;2;0;5;1;75000;1;44.67
1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;2;1;2;2;2;2;2;2;2;2;8/12/1967;1;5;0;0;4;1;2;0;2;2;320000;1;32.8
1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;2;1;2;2;2;2;2;2;2;1;13/04/1995;3;5;0;0;4;2;1;4;2;2;0;2;32.8
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;26/07/1959;1;4;0;0;4;1;2;0;4;1;240000;1;39.96
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;27/04/1983;3;5;0;0;4;1;2;0;5;1;340000;1;39.96
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;3/01/2002;4;5;0;0;4;2;1;4;1;1;0;2;39.96
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;21/02/1995;4;5;0;0;4;2;1;4;5;1;0;2;39.96
1;1;1;1;4;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;1;4/01/1961;1;2;2;0;4;2;2;0;3;1;400000;1;41.74
1;1;1;1;4;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;5/01/1967;2;2;1;0;4;1;2;0;4;2;0;2;41.74
1;1;1;1;4;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;1/01/2000;3;5;0;0;4;2;1;4;3;1;0;2;41.74
1;1;1;2;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;20/12/1962;1;4;0;0;0;1;2;0;5;1;80000;1;35.71
1;1;1;1;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;1;1/04/1941;1;3;0;0;4;2;2;0;3;1;75000;1;28.83
1;1;1;2;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;1;10/02/1957;1;2;2;0;4;2;2;0;1;2;0;2;19.13
1;1;1;2;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;7/04/1968;2;2;1;0;4;1;2;0;1;1;160000;1;19.13
1;1;1;2;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;26/12/1991;3;5;0;0;4;2;1;4;4;2;0;2;19.13
1;1;1;2;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;24/11/2013;4;5;0;0;0;2;2;0;0;0;0;2;19.13
1;2;1;1;3;1;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;0;2;1;1;2;2;2;2;2;2;2;2;24/12/1992;1;1;0;0;4;2;1;4;3;2;0;2;55.43
